week_date,top_song,top_artist,tv_programs,magazine_titles,radio_top_tracks
2011-01-31,Grenade,Bruno Mars,,,
2011-02-07,Grenade,Bruno Mars,,,
2011-02-14,Black And Yellow,Wiz Khalifa,,,
2011-02-21,Born This Way,Lady Gaga,,,
2011-02-28,Born This Way,Lady Gaga,,,
2011-03-07,Born This Way,Lady Gaga,,,
2011-03-14,Born This Way,Lady Gaga,,,
2011-03-21,Born This Way,Lady Gaga,,,
2011-03-28,Born This Way,Lady Gaga,,Cosmopolitan (UK) April 2011 (Beyonce),
2011-04-04,E.T.,Katy Perry,,,
2011-04-11,E.T.,Katy Perry,,,
2011-04-18,E.T.,Katy Perry,,,
2011-04-25,sssS&M,Rihanna,,,
2011-05-02,E.T.,Katy Perry,,,
2011-05-09,E.T.,Katy Perry,,,
2011-05-16,Rolling In The Deep,Adele,,,
2011-05-23,Rolling In The Deep,Adele,,,
2011-05-30,Rolling In The Deep,Adele,,,
2011-06-06,Rolling In The Deep,Adele,,,
2011-06-13,Rolling In The Deep,Adele,,,
2011-06-20,Rolling In The Deep,Adele,,,
2011-06-27,Rolling In The Deep,Adele,,,
2011-07-04,Give Me Everything,Pitbull,,,
2011-07-11,Party Rock Anthem,Lmfao,,,
2011-07-18,Party Rock Anthem,Lmfao,,,
2011-07-25,Party Rock Anthem,Lmfao,,,
2011-08-01,Party Rock Anthem,Lmfao,,,
2011-08-08,Party Rock Anthem,Lmfao,,,
2011-08-15,Party Rock Anthem,Lmfao,,,
2011-08-22,Last Friday Night (T.G.I.F.),Katy Perry,,,
2011-08-29,Last Friday Night (T.G.I.F.),Katy Perry,,,
2011-09-05,Moves Like Jagger,Maroon 5,,,
2011-09-12,Someone Like You,Adele,,,
2011-09-19,Moves Like Jagger,Maroon 5,,,
2011-09-26,Moves Like Jagger,Maroon 5,,,
2011-10-03,Moves Like Jagger,Maroon 5,,,
2011-10-10,Someone Like You,Adele,,,
2011-10-17,Someone Like You,Adele,,,
2011-10-24,Someone Like You,Adele,,,
2011-10-31,Someone Like You,Adele,,Cosmopolitan November 2011,
2011-11-07,We Found Love,Rihanna,,,
2011-11-14,We Found Love,Rihanna,,,
2011-11-21,We Found Love,Rihanna,,,
2011-11-28,We Found Love,Rihanna,,,
2011-12-05,We Found Love,Rihanna,,,
2011-12-12,We Found Love,Rihanna,,,
2011-12-19,We Found Love,Rihanna,,,
2011-12-26,We Found Love,Rihanna,,". INCLUSION OF PEOPLE IN THE BPL LIST (15-Mar-2012); 21 speeches that shaped our world : the people and ideas that changed the way we think; All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 2012; An investigation of factors associated with the health and well-being of HIV-infected or HIV-affected older people in rural South Africa.; Beyonders in Gyminge : The Twith Logue Chronicles: Adventures with the Little People",
2012-01-02,Sexy And I Know It,Lmfao,,,
2012-01-09,Sexy And I Know It,Lmfao,,,
2012-01-16,We Found Love,Rihanna,,,
2012-01-23,We Found Love,Rihanna,,,
2012-01-30,Set Fire To The Rain,Adele,,,
2012-02-06,Set Fire To The Rain,Adele,,,
2012-02-13,Stronger (What Doesn't Kill You),Kelly Clarkson,,,
2012-02-20,Stronger (What Doesn't Kill You),Kelly Clarkson,,,
2012-02-27,Part Of Me,Katy Perry,,,
2012-03-05,Stronger (What Doesn't Kill You),Kelly Clarkson,,,
2012-03-12,We Are Young,Fun,,,
2012-03-19,We Are Young,Fun,,,
2012-03-26,We Are Young,Fun,,,
2012-04-02,We Are Young,Fun,,,
2012-04-09,We Are Young,Fun,,,
2012-04-16,We Are Young,Fun,,,
2012-04-23,Somebody That I Used To Know,Gotye,,,
2012-04-30,Somebody That I Used To Know,Gotye,,,
2012-05-07,Somebody That I Used To Know,Gotye,,,
2012-05-14,Somebody That I Used To Know,Gotye,,,
2012-05-21,Somebody That I Used To Know,Gotye,,,
2012-05-28,Somebody That I Used To Know,Gotye,,,
2012-06-04,Somebody That I Used To Know,Gotye,,,
2012-06-11,Somebody That I Used To Know,Gotye,,,
2012-06-18,Call Me Maybe,Carly Rae Jepsen,,,
2012-06-25,Call Me Maybe,Carly Rae Jepsen,,,
2012-07-02,Call Me Maybe,Carly Rae Jepsen,,,
2012-07-09,Call Me Maybe,Carly Rae Jepsen,,,
2012-07-16,Call Me Maybe,Carly Rae Jepsen,,,
2012-07-23,Call Me Maybe,Carly Rae Jepsen,,,
2012-07-30,Call Me Maybe,Carly Rae Jepsen,,,
2012-08-06,Call Me Maybe,Carly Rae Jepsen,,,
2012-08-13,Call Me Maybe,Carly Rae Jepsen,,,
2012-08-20,Whistle,Flo Rida,,,
2012-08-27,We Are Never Ever Getting Back Together,Taylor Swift,,,
2012-09-03,We Are Never Ever Getting Back Together,Taylor Swift,,,
2012-09-10,Whistle,Flo Rida,,,
2012-09-17,We Are Never Ever Getting Back Together,Taylor Swift,,,
2012-09-24,One More Night,Maroon 5,,,
2012-10-01,One More Night,Maroon 5,,,
2012-10-08,One More Night,Maroon 5,,,
2012-10-15,One More Night,Maroon 5,,,
2012-10-22,One More Night,Maroon 5,,,
2012-10-29,One More Night,Maroon 5,,,
2012-11-05,One More Night,Maroon 5,,,
2012-11-12,One More Night,Maroon 5,,,
2012-11-19,One More Night,Maroon 5,,,
2012-11-26,Diamonds,Rihanna,,,
2012-12-03,Diamonds,Rihanna,,,
2012-12-10,Diamonds,Rihanna,,,
2012-12-17,Locked Out Of Heaven,Bruno Mars,,,
2012-12-24,Locked Out Of Heaven,Bruno Mars,,,
2012-12-31,Locked Out Of Heaven,Bruno Mars,,"5:2 vegetarian : easy fast diet meals for busy people; A field guide to Gettysburg : experiencing the battlefield through its history, places, & people; Addressing the U.S. government's healthy people breastfeeding goals using a theory-based program for expecting parents; African world histories : cosmopolitan Africa, c.1700-1875; All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 2013",
2013-01-07,Locked Out Of Heaven,Bruno Mars,,,
2013-01-14,Locked Out Of Heaven,Bruno Mars,,,
2013-01-21,Locked Out Of Heaven,Bruno Mars,,,
2013-01-28,Thrift Shop,Macklemore,,,
2013-02-04,Thrift Shop,Macklemore,,,
2013-02-11,Thrift Shop,Macklemore,,,
2013-02-18,Thrift Shop,Macklemore,,,
2013-02-25,Harlem Shake,Baauer,,,
2013-03-04,Harlem Shake,Baauer,,,
2013-03-11,Harlem Shake,Baauer,,,
2013-03-18,Harlem Shake,Baauer,,,
2013-03-25,Harlem Shake,Baauer,,,
2013-04-01,Thrift Shop,Macklemore,,,
2013-04-08,Thrift Shop,Macklemore,,,
2013-04-15,When I Was Your Man,Bruno Mars,,,
2013-04-22,Just Give Me A Reason,P!nk,,,
2013-04-29,Just Give Me A Reason,P!nk,,,
2013-05-06,Just Give Me A Reason,P!nk,,,
2013-05-13,Can't Hold Us,Macklemore,,,
2013-05-20,Can't Hold Us,Macklemore,,,
2013-05-27,Can't Hold Us,Macklemore,,,
2013-06-03,Can't Hold Us,Macklemore,,,
2013-06-10,Can't Hold Us,Macklemore,,,
2013-06-17,Blurred Lines,Robin Thicke,,,
2013-06-24,Blurred Lines,Robin Thicke,,,
2013-07-01,Blurred Lines,Robin Thicke,,,
2013-07-08,Blurred Lines,Robin Thicke,,,
2013-07-15,Blurred Lines,Robin Thicke,,,
2013-07-22,Blurred Lines,Robin Thicke,,,
2013-07-29,Blurred Lines,Robin Thicke,,,
2013-08-05,Blurred Lines,Robin Thicke,,,
2013-08-12,Blurred Lines,Robin Thicke,,,
2013-08-19,Blurred Lines,Robin Thicke,,,
2013-08-26,Blurred Lines,Robin Thicke,,,
2013-09-02,Blurred Lines,Robin Thicke,,,
2013-09-09,Roar,Katy Perry,,,
2013-09-16,Roar,Katy Perry,,,
2013-09-23,Wrecking Ball,Miley Cyrus,,,
2013-09-30,Wrecking Ball,Miley Cyrus,,,
2013-10-07,Royals,Lorde,,,
2013-10-14,Royals,Lorde,,,
2013-10-21,Royals,Lorde,,,
2013-10-28,Royals,Lorde,,,
2013-11-04,Royals,Lorde,,,
2013-11-11,Royals,Lorde,,,
2013-11-18,Royals,Lorde,,,
2013-11-25,Royals,Lorde,,,
2013-12-02,Royals,Lorde,,,
2013-12-09,Wrecking Ball,Miley Cyrus,,,
2013-12-16,The Monster,Eminem,,,
2013-12-23,The Monster,Eminem,,,
2013-12-30,The Monster,Eminem,,A Population-Based Intervention for the Prevention of Falls and Fractures in Home Dwelling People 65 Years and Older in South Germany: Protocol.; A Seventeen-Year Epidemiological Surveillance Study of Borrelia burgdorferi Infections in Two Provinces of Northern Spain.; A principled and cosmopolitan neuroethics: considerations for international relevance.; A review and redescription of the cosmopolitan pseudoscorpion Chelifer cancroides (Pseudoscorpiones: Cheliferidae); Achievers: Ordinary People Who Do Extraordinary Things,
2014-01-06,The Monster,Eminem,,,
2014-01-13,Timber,Pitbull,,,
2014-01-20,Timber,Pitbull,,,
2014-01-27,Timber,Pitbull,,,
2014-02-03,Dark Horse,Katy Perry,,,
2014-02-10,Dark Horse,Katy Perry,,,
2014-02-17,Dark Horse,Katy Perry,,,
2014-02-24,Dark Horse,Katy Perry,,,
2014-03-03,Happy,Pharrell Williams,,"TV Guide Canada TV Listings March 6, 2014",
2014-03-10,Happy,Pharrell Williams,,,
2014-03-17,Happy,Pharrell Williams,,"TV Guide Canada TV Listings March 20, 2014",
2014-03-24,Happy,Pharrell Williams,,,
2014-03-31,Happy,Pharrell Williams,,,
2014-04-07,Happy,Pharrell Williams,,,
2014-04-14,Happy,Pharrell Williams,,,
2014-04-21,Happy,Pharrell Williams,,,
2014-04-28,Happy,Pharrell Williams,,,
2014-05-05,Happy,Pharrell Williams,,,
2014-05-12,All Of Me,John Legend,,,
2014-05-19,All Of Me,John Legend,,,
2014-05-26,All Of Me,John Legend,,,
2014-06-02,Fancy,Iggy Azalea,,,
2014-06-09,Fancy,Iggy Azalea,,,
2014-06-16,Fancy,Iggy Azalea,,,
2014-06-23,Fancy,Iggy Azalea,,,
2014-06-30,Fancy,Iggy Azalea,,,
2014-07-07,Fancy,Iggy Azalea,,,
2014-07-14,Fancy,Iggy Azalea,,,
2014-07-21,Rude,Magic!,,,
2014-07-28,Rude,Magic!,,,
2014-08-04,Rude,Magic!,,,
2014-08-11,Rude,Magic!,,,
2014-08-18,Rude,Magic!,,,
2014-08-25,Rude,Magic!,,,
2014-09-01,Shake It Off,Taylor Swift,,,
2014-09-08,Shake It Off,Taylor Swift,,,
2014-09-15,All About That Bass,Meghan Trainor,,,
2014-09-22,All About That Bass,Meghan Trainor,,,
2014-09-29,All About That Bass,Meghan Trainor,,,
2014-10-06,All About That Bass,Meghan Trainor,,,
2014-10-13,All About That Bass,Meghan Trainor,,,
2014-10-20,All About That Bass,Meghan Trainor,,,
2014-10-27,All About That Bass,Meghan Trainor,,,
2014-11-03,All About That Bass,Meghan Trainor,,,
2014-11-10,Shake It Off,Taylor Swift,,,
2014-11-17,Shake It Off,Taylor Swift,,,
2014-11-24,Blank Space,Taylor Swift,,,
2014-12-01,Blank Space,Taylor Swift,,Rolling Stone December 4 2014 USA,
2014-12-08,Blank Space,Taylor Swift,,,
2014-12-15,Blank Space,Taylor Swift,,,
2014-12-22,Blank Space,Taylor Swift,,,
2014-12-29,Blank Space,Taylor Swift,,"A Cosmopolitan City : Muslims, Christians, and Jews in Old Cairo; A History Of The English People In 1815 Book-ii; All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 2015; Berea Bible Handbook Part Seventeen; Carbide tipped pens : seventeen tales of hard science fiction",
2015-01-05,Blank Space,Taylor Swift,,,
2015-01-12,Uptown Funk!,Mark Ronson,,,
2015-01-19,Uptown Funk!,Mark Ronson,,,
2015-01-26,Uptown Funk!,Mark Ronson,,,
2015-02-02,Uptown Funk!,Mark Ronson,,,
2015-02-09,Uptown Funk!,Mark Ronson,,"Billboard Magazine February 14, 2015 USA; Entertainment Weekly February 13, 2015; Rolling Stone February 12, 2015",
2015-02-16,Uptown Funk!,Mark Ronson,,"Billboard Magazine February 21, 2015 USA; Entertainment Weekly February 20, 2015",
2015-02-23,Uptown Funk!,Mark Ronson,,"Cosmopolitan March 2015 USA; Entertainment Weekly February 27, 2015; Rolling Stone February 26, 2015 USA; Rolling Stone March 2015 IN; Seventeen March 2015 USA",
2015-03-02,Uptown Funk!,Mark Ronson,,"Entertainment Weekly March 6, 2015",
2015-03-09,Uptown Funk!,Mark Ronson,,"Entertainment Weekly March 13, 2015; Rolling Stone March 12, 2015 USA; TV Guide Magazine March 9, 2015 USA",
2015-03-16,Uptown Funk!,Mark Ronson,,"Billboard Magazine March 21, 2015; Entertainment Weekly March 20, 2015 USA",
2015-03-23,Uptown Funk!,Mark Ronson,,"Rolling Stone March 26, 2015 USA",
2015-03-30,Uptown Funk!,Mark Ronson,,"Billboard Magazine April 4, 2015 USA; Cosmopolitan April 2015 PH; Cosmopolitan April 2015 UK; Cosmopolitan April 2015 USA; Seventeen April 2015 USA",
2015-04-06,Uptown Funk!,Mark Ronson,,"Billboard Magazine April 11, 2015 USA; Entertainment Weekly April 10, 2015 USA; New York Magazine April 6, 2015; Rolling Stone April 9, 2015 USA",
2015-04-13,Uptown Funk!,Mark Ronson,,"Billboard Magazine April 18, 2015 USA; Entertainment Weekly April 17, 2015 USA",
2015-04-20,See You Again,Wiz Khalifa,,"New York Magazine April 20, 2015; Rolling Stone April 23, 2015 USA; TV Guide April 20, 2015 USA",
2015-04-27,See You Again,Wiz Khalifa,,Cosmopolitan May 2015 UK; Cosmopolitan May 2015 USA; Seventeen May 2015 USA,
2015-05-04,See You Again,Wiz Khalifa,,,
2015-05-11,See You Again,Wiz Khalifa,,,
2015-05-18,See You Again,Wiz Khalifa,,,
2015-05-25,See You Again,Wiz Khalifa,,,
2015-06-01,Bad Blood,Taylor Swift,,Rolling Stone June 2015 IN,
2015-06-08,See You Again,Wiz Khalifa,,"Billboard Magazine June 13, 2015; New York Magazine June 8, 2015",
2015-06-15,See You Again,Wiz Khalifa,,"Entertainment Weekly June 19, 2015",
2015-06-22,See You Again,Wiz Khalifa,,"Billboard Magazine June 27, 2015; Entertainment Weekly June 26, 2015",
2015-06-29,See You Again,Wiz Khalifa,,"Billboard Magazine July 4, 2015; Cosmopolitan July 2015 PH; Entertainment Weekly July 3, 2015; Rolling Stone July 2, 2015",
2015-07-06,See You Again,Wiz Khalifa,,"Entertainment Weekly July 10, 2015",
2015-07-13,See You Again,Wiz Khalifa,,"New York Magazine July 13, 2015",
2015-07-20,Cheerleader,Omi,,,
2015-07-27,Cheerleader,Omi,,"Billboard Magazine August 1, 2015 USA; Cosmopolitan August 2015 AU; Cosmopolitan August 2015 UK; Cosmopolitan August 2015 USA; Entertainment Weekly July 27, 2015",
2015-08-03,Cheerleader,Omi,,"Entertainment Weekly August 4, 2015 USA; New York Magazine August 9, 2015 USA",
2015-08-10,Cheerleader,Omi,,"Entertainment Weekly August 14, 2015 USA; Rolling Stone August 13, 2015 USA; TV Guide Magazine August 10, 2015 USA",
2015-08-17,Can't Feel My Face,The Weeknd,,"Billboard Magazine August 22, 2015; Entertainment Weekly August 21, 2015",
2015-08-24,Cheerleader,Omi,,"Billboard Magazine August 29, 2015; New York Magazine August 24, 2015; Rolling Stone August 27, 2015",
2015-08-31,Cheerleader,Omi,,"Billboard Magazine September 5, 2015; Cosmopolitan September 2015 AU; Cosmopolitan September 2015 PH; Cosmopolitan September 2015 UK; Cosmopolitan September 2015 USA",
2015-09-07,Can't Feel My Face,The Weeknd,,"Rolling Stone September 10, 2015",
2015-09-14,What Do You Mean?,Justin Bieber,,"Billboard Magazine September 19, 2015; Entertainment Weekly September 18, 2015; New York Magazine September 20, 2015",
2015-09-21,Can't Feel My Face,The Weeknd,,"New York Magazine September 21, 2015; Rolling Stone September 24, 2015",
2015-09-28,The Hills,The Weeknd,,"Billboard Magazine October 3, 2015; Cosmopolitan October 2015 UK; Entertainment Weekly October 2, 2015; Rolling Stone October 2015 AU; Seventeen October 2015",
2015-10-05,The Hills,The Weeknd,,"Entertainment Weekly October 9, 2015",
2015-10-12,The Hills,The Weeknd,,"Billboard Magazine October 17, 2015",
2015-10-19,The Hills,The Weeknd,,"Billboard Magazine October 24, 2015; New York Magazine October 19, 2015; Rolling Stone October 22, 2015",
2015-10-26,The Hills,The Weeknd,,"Cosmopolitan November 2015 AU; Cosmopolitan November 2015 UK; Cosmopolitan November 2015 USA; Entertainment Weekly October 30, 2015; Rolling Stone November 2015",
2015-11-02,The Hills,The Weeknd,,"Billboard Magazine November 7, 2015; Entertainment Weekly November 6, 2015; Rolling Stone November 5, 2015",
2015-11-09,Hello,Adele,,"Entertainment Weekly November 13, 2015; New York Magazine November 9, 2015",
2015-11-16,Hello,Adele,,"Entertainment Weekly November 20, 2015; New York Magazine November 16, 2015; Rolling Stone November 19, 2015",
2015-11-23,Hello,Adele,,"New York Magazine November 23, 2015",
2015-11-30,Hello,Adele,,"Cosmopolitan December 2015 UK; Cosmopolitan December 2015 USA; Entertainment Weekly 31 December 2015; Entertainment Weekly December 4, 2015; New York Magazine November 30, 2015",
2015-12-07,Hello,Adele,,"Billboard Magazine December 12, 2015",
2015-12-14,Hello,Adele,,"Entertainment Weekly December 18, 2015; New York Magazine December 14, 2015; Rolling Stone December 17, 2015",
2015-12-21,Hello,Adele,,,
2015-12-28,Hello,Adele,,"5 things to pray for the people you love; AQA GCSE history Migration, empires and the people; Aanvraag omgevingsvergunning voor het bouwen van een verplaatsbare reclame billboard, Laan van de Helende Meesters 114, Amstelveen - Zaaknummer Z-2016/029849; All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 2016; An Abolitionist Abroad : Sarah Parker Remond in Cosmopolitan Europe",
2016-01-04,Hello,Adele,,,
2016-01-11,Hello,Adele,,,
2016-01-18,Sorry,Justin Bieber,,"Billboard January 23 2016 vk com stopthepress; TV Guide Magazine January 18 2016; TV Guide Magazine January 18, 2016",
2016-01-25,Sorry,Justin Bieber,,"Entertainment Weekly January 29, 2016; Rolling Stone January 28, 2016",
2016-02-01,Sorry,Justin Bieber,,"Chris Carter Reopens The X Files [Entertainment Weekly 19.26 February 2016]; Cosmopolitan Australia February 2016; Cosmopolitan USA February 2016; TV Guide Magazine February 1 2016; TV Guide Magazine February 1, 2016",
2016-02-08,Love Yourself,Justin Bieber,,"Entertainment Weekly February 12, 2016; Rolling Stone February 11 2016 vk com stopthepress",
2016-02-15,Pillowtalk,Zayn,,"Billboard Magazine February 20, 2016; Entertainment Weekly February 19, 2016",
2016-02-22,Love Yourself,Justin Bieber,,"Rolling Stone February 25, 2016",
2016-02-29,Work,Rihanna,,"Cosmopolitan Philippines March 2016; Entertainment Weekly 4 March 2016; Entertainment Weekly March 4, 2016; How to Make a Secret Movie [watermarked and color obfuscated scripts] [Entertainment Weekly 4 March 2016 No. 1405]; Rolling Stone March 2016",
2016-03-07,Work,Rihanna,,"Rolling Stone March 10, 2016; TV Guide Magazine March 7, 2016",
2016-03-14,Work,Rihanna,,,
2016-03-21,Work,Rihanna,,,
2016-03-28,Work,Rihanna,,Cosmopolitan UK April 2016; Kindle book sharing ad [Entertainment Weekly 22.29 April 2016 Nos.1411 2]; Rolling Stone April 2016; Rolling Stone Australia April 2016,
2016-04-04,Work,Rihanna,,,
2016-04-11,Work,Rihanna,,,
2016-04-18,Work,Rihanna,,,
2016-04-25,Work,Rihanna,,Rolling Stone USA 16 May 2016,
2016-05-02,Panda,Desiigner,,Billboard Magazine May 7 2016 vk com stopthepress,
2016-05-09,Panda,Desiigner,,,
2016-05-16,One Dance,Drake,,,
2016-05-23,Can't Stop The Feeling!,Justin Timberlake,,Entertainment Weekly May 27 2016 vk com stopthepress,
2016-05-30,One Dance,Drake,,Rolling Stone USA 16 June 2016; Rolling Stone USA 2 June 2016,
2016-06-06,One Dance,Drake,,,
2016-06-13,One Dance,Drake,,,
2016-06-20,One Dance,Drake,,,
2016-06-27,One Dance,Drake,,,
2016-07-04,One Dance,Drake,,,
2016-07-11,One Dance,Drake,,,
2016-07-18,One Dance,Drake,,,
2016-07-25,One Dance,Drake,,,
2016-08-01,Cheap Thrills,Sia,,Rolling Stone India - August 2016,
2016-08-08,Cheap Thrills,Sia,,,
2016-08-15,Cheap Thrills,Sia,,,
2016-08-22,Cheap Thrills,Sia,,,
2016-08-29,Closer,The Chainsmokers,,,
2016-09-05,Closer,The Chainsmokers,,,
2016-09-12,Closer,The Chainsmokers,,,
2016-09-19,Closer,The Chainsmokers,,,
2016-09-26,Closer,The Chainsmokers,,,
2016-10-03,Closer,The Chainsmokers,,,
2016-10-10,Closer,The Chainsmokers,,,
2016-10-17,Closer,The Chainsmokers,,,
2016-10-24,Closer,The Chainsmokers,,2016.10.27 - The Word of God to the Russian people and to the Orthodox churches in the world,
2016-10-31,Closer,The Chainsmokers,,,
2016-11-07,Closer,The Chainsmokers,,,
2016-11-14,Closer,The Chainsmokers,,,
2016-11-21,Black Beatles,Rae Sremmurd,,,
2016-11-28,Black Beatles,Rae Sremmurd,,,
2016-12-05,Black Beatles,Rae Sremmurd,,,
2016-12-12,Black Beatles,Rae Sremmurd,,,
2016-12-19,Black Beatles,Rae Sremmurd,,,
2016-12-26,Black Beatles,Rae Sremmurd,,Billboard Brasil Hot 100 20170102; Billboard Brasil Hot 100 20170116; Billboard Brasil Hot 100 20170123; Billboard Brasil Hot 100 20170130; Billboard Brasil Hot 100 20170227,
2017-01-02,Starboy,The Weeknd,,,
2017-01-09,Black Beatles,Rae Sremmurd,,,
2017-01-16,Bad And Boujee,Migos,,,
2017-01-23,Shape Of You,Ed Sheeran,,,
2017-01-30,Bad And Boujee,Migos,,,
2017-02-06,Bad And Boujee,Migos,,,
2017-02-13,Shape Of You,Ed Sheeran,,,
2017-02-20,Shape Of You,Ed Sheeran,,,
2017-02-27,Shape Of You,Ed Sheeran,,,
2017-03-06,Shape Of You,Ed Sheeran,,,
2017-03-13,Shape Of You,Ed Sheeran,,,
2017-03-20,Shape Of You,Ed Sheeran,,,
2017-03-27,Shape Of You,Ed Sheeran,,,
2017-04-03,Shape Of You,Ed Sheeran,,,
2017-04-10,Shape Of You,Ed Sheeran,,,
2017-04-17,Shape Of You,Ed Sheeran,,,
2017-04-24,Shape Of You,Ed Sheeran,,,
2017-05-01,Humble.,Kendrick Lamar,,,
2017-05-08,That's What I Like,Bruno Mars,,,
2017-05-15,I'm The One,Dj Khaled,,,
2017-05-22,Despacito,Luis Fonsi,,,
2017-05-29,Despacito,Luis Fonsi,,,
2017-06-05,Despacito,Luis Fonsi,,,
2017-06-12,Despacito,Luis Fonsi,,,
2017-06-19,Despacito,Luis Fonsi,,,
2017-06-26,Despacito,Luis Fonsi,,,
2017-07-03,Despacito,Luis Fonsi,,,
2017-07-10,Despacito,Luis Fonsi,,,
2017-07-17,Despacito,Luis Fonsi,,,
2017-07-24,Despacito,Luis Fonsi,,,
2017-07-31,Despacito,Luis Fonsi,,Rolling Stone Germany August 2017 Downmagaz.com,
2017-08-07,Despacito,Luis Fonsi,,,
2017-08-14,Despacito,Luis Fonsi,,,
2017-08-21,Despacito,Luis Fonsi,,,
2017-08-28,Despacito,Luis Fonsi,,,
2017-09-04,Despacito,Luis Fonsi,,,
2017-09-11,Look What You Made Me Do,Taylor Swift,,,
2017-09-18,Look What You Made Me Do,Taylor Swift,,,
2017-09-25,Look What You Made Me Do,Taylor Swift,,,
2017-10-02,Bodak Yellow (Money Moves),Cardi B,,,
2017-10-09,Bodak Yellow (Money Moves),Cardi B,,,
2017-10-16,Bodak Yellow (Money Moves),Cardi B,,,
2017-10-23,Rockstar,Post Malone,,,
2017-10-30,Rockstar,Post Malone,,,
2017-11-06,Rockstar,Post Malone,,,
2017-11-13,Rockstar,Post Malone,,,
2017-11-20,Rockstar,Post Malone,,,
2017-11-27,Rockstar,Post Malone,,,
2017-12-04,Rockstar,Post Malone,,,
2017-12-11,Rockstar,Post Malone,,,
2017-12-18,Perfect,Ed Sheeran,,,
2017-12-25,Perfect,Ed Sheeran,,,
2018-01-01,Perfect,Ed Sheeran,,"All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 2018; Billboard Brasil Hot 100 20180528; Billboard Brasil Hot 100 20180604; Black fungus gnats (Diptera: Sciaridae) found in association with cultivated plants and mushrooms in Australia, with notes on cosmopolitan pest species and biosecurity interceptions; Chapter 9 Afghanistan’s Cosmopolitan Trading Networks - A View from Yiwu, China",
2018-01-08,Perfect,Ed Sheeran,,,
2018-01-15,Perfect,Ed Sheeran,,,
2018-01-22,Havana,Camila Cabello,,,
2018-01-29,God's Plan,Drake,,,
2018-02-05,God's Plan,Drake,,,
2018-02-12,God's Plan,Drake,,,
2018-02-19,God's Plan,Drake,,,
2018-02-26,God's Plan,Drake,,,
2018-03-05,God's Plan,Drake,,,
2018-03-12,God's Plan,Drake,,,
2018-03-19,God's Plan,Drake,,,
2018-03-26,God's Plan,Drake,,"2018.04.01 - The Word of God for the people of old Israel; Cosmopolitan USA April 2018; Entertainment Weekly March 30, 2018; People Australia 02 April 2018",
2018-04-02,God's Plan,Drake,,,
2018-04-09,God's Plan,Drake,,,
2018-04-16,Nice For What,Drake,,,
2018-04-23,Nice For What,Drake,,,
2018-04-30,Nice For What,Drake,,,
2018-05-07,Nice For What,Drake,,"Entertainment Weekly May 11, 2018 ( Ryan Reynolds On Deadpool 2)",
2018-05-14,This Is America,Childish Gambino,,,
2018-05-21,This Is America,Childish Gambino,,,
2018-05-28,Nice For What,Drake,,,
2018-06-04,Nice For What,Drake,,,
2018-06-11,Psycho,Post Malone,,,
2018-06-18,Nice For What,Drake,,,
2018-06-25,Sad!,Xxxtentacion,,,
2018-07-02,I Like It,"Cardi B, Bad Bunny",,,
2018-07-09,Nice For What,Drake,,,
2018-07-16,In My Feelings,Drake,,,
2018-07-23,In My Feelings,Drake,,,
2018-07-30,In My Feelings,Drake,,,
2018-08-06,In My Feelings,Drake,,,
2018-08-13,In My Feelings,Drake,,,
2018-08-20,In My Feelings,Drake,,,
2018-08-27,In My Feelings,Drake,,,
2018-09-03,In My Feelings,Drake,,,
2018-09-10,In My Feelings,Drake,,,
2018-09-17,In My Feelings,Drake,,,
2018-09-24,Girls Like You,Maroon 5,,,
2018-10-01,Girls Like You,Maroon 5,,,
2018-10-08,Girls Like You,Maroon 5,,,
2018-10-15,Girls Like You,Maroon 5,,,
2018-10-22,Girls Like You,Maroon 5,,,
2018-10-29,Girls Like You,Maroon 5,,,
2018-11-05,Girls Like You,Maroon 5,,,
2018-11-12,"Thank U, Next",Ariana Grande,,,
2018-11-19,"Thank U, Next",Ariana Grande,,,
2018-11-26,"Thank U, Next",Ariana Grande,,,
2018-12-03,Sicko Mode,Travis Scott,,,
2018-12-10,"Thank U, Next",Ariana Grande,,,
2018-12-17,"Thank U, Next",Ariana Grande,,,
2018-12-24,"Thank U, Next",Ariana Grande,,,
2018-12-31,"Thank U, Next",Ariana Grande,,"All male or female persons seventeen years of age or over listed in the City of Everett as of January 1, 2019; Billboard Awards Contest Affidavit of Eligiblity Release of Liability Adult; Closing the educational achievement gap of young black males eleven to seventeen who live in single parent households; Cosmopolitan Türkiye (Ağustos 2019); ERIC ED592751: EFL Programs for People with Special Needs in Different National Settings",
2019-01-07,Without Me,Halsey,,,
2019-01-14,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,,"Struggle | La Lucha (2019.01.17) Missing, murdered Indigenous women, girls & two-spirit people",
2019-01-21,Without Me,Halsey,,,
2019-01-28,7 Rings,Ariana Grande,,,
2019-02-04,7 Rings,Ariana Grande,,,
2019-02-11,7 Rings,Ariana Grande,,,
2019-02-18,7 Rings,Ariana Grande,,,
2019-02-25,7 Rings,Ariana Grande,,,
2019-03-04,Shallow,Lady Gaga,,,
